Leading Cancer Sites,Year,State,Mortality-Incidence Age-Adjusted Rate Ratio,"Mortality Age-Adjusted Rate (per 100,000)","Incidence Age-Adjusted Rate (per 100,000)"
Brain and Other Nervous System,2007,New Hampshire,0.634,4.511,7.112
Brain and Other Nervous System,2007,New Jersey,0.533,3.89,7.297
Brain and Other Nervous System,2007,New Mexico,0.545,2.988,5.48
Brain and Other Nervous System,2007,New York,0.559,3.709,6.63
Brain and Other Nervous System,2007,North Carolina,0.618,4.06,6.567
Brain and Other Nervous System,2007,North Dakota,0.64,4.484,7.003
Brain and Other Nervous System,2007,Ohio,0.615,4.198,6.831
Brain and Other Nervous System,2007,Oklahoma,0.593,4.511,7.6
Brain and Other Nervous System,2007,Oregon,0.658,5.14,7.807
Brain and Other Nervous System,2007,Pennsylvania,0.54,4.092,7.578
Brain and Other Nervous System,2007,Rhode Island,0.513,3.228,6.293
Brain and Other Nervous System,2007,South Carolina,0.629,4.408,7.005
Brain and Other Nervous System,2007,South Dakota,0.676,5.368,7.935
Brain and Other Nervous System,2007,Tennessee,0.646,4.434,6.864
Brain and Other Nervous System,2007,Texas,0.596,4.017,6.735
Brain and Other Nervous System,2007,Utah,0.643,4.286,6.67
Brain and Other Nervous System,2007,Vermont,0.543,4.799,8.831
Brain and Other Nervous System,2007,Virginia,0.623,3.826,6.136
Brain and Other Nervous System,2007,Washington,0.675,4.783,7.088
Brain and Other Nervous System,2007,West Virginia,0.568,4.764,8.388
Brain and Other Nervous System,2007,Wisconsin,0.564,4.6,8.154
Brain and Other Nervous System,2007,Wyoming,0.789,4.003,5.075
Brain and Other Nervous System,2008,Alabama,0.655,4.826,7.369
Brain and Other Nervous System,2008,Alaska,0.53,3.948,7.447
Brain and Other Nervous System,2008,Arizona,0.578,4.119,7.127
Brain and Other Nervous System,2008,Arkansas,0.747,5.037,6.739
Brain and Other Nervous System,2008,California,0.686,4.26,6.209
Brain and Other Nervous System,2008,Colorado,0.616,4.304,6.982
Brain and Other Nervous System,2008,Connecticut,0.51,3.85,7.548
Brain and Other Nervous System,2008,Delaware,0.637,5.159,8.101
Brain and Other Nervous System,2008,District of Columbia,0.594,4.578,7.71
Brain and Other Nervous System,2008,Florida,0.56,3.81,6.8
Brain and Other Nervous System,2008,Georgia,0.634,4.185,6.598
Brain and Other Nervous System,2008,Hawaii,0.442,1.978,4.47
Brain and Other Nervous System,2008,Idaho,0.602,4.764,7.91
Brain and Other Nervous System,2008,Illinois,0.547,3.773,6.892
Brain and Other Nervous System,2008,Indiana,0.649,4.959,7.645
Brain and Other Nervous System,2008,Iowa,0.709,5.316,7.502
Brain and Other Nervous System,2008,Kansas,0.665,4.95,7.444
Brain and Other Nervous System,2008,Kentucky,0.657,4.729,7.198
Brain and Other Nervous System,2008,Louisiana,0.729,4.281,5.871
Brain and Other Nervous System,2008,Maine,0.694,5.242,7.556
Brain and Other Nervous System,2008,Maryland,0.569,3.749,6.589
Brain and Other Nervous System,2008,Massachusetts,0.553,4.11,7.43
Brain and Other Nervous System,2008,Michigan,0.684,5.208,7.612
Brain and Other Nervous System,2008,Minnesota,0.658,4.381,6.662
Brain and Other Nervous System,2008,Mississippi,0.753,4.601,6.112
Brain and Other Nervous System,2008,Missouri,0.689,4.69,6.808
Brain and Other Nervous System,2008,Montana,0.584,4.255,7.281
Brain and Other Nervous System,2008,Nebraska,0.735,5.48,7.46
Brain and Other Nervous System,2008,Nevada,0.717,4.199,5.852
Brain and Other Nervous System,2008,New Hampshire,0.632,4.61,7.298
Brain and Other Nervous System,2008,New Jersey,0.483,3.51,7.27
Brain and Other Nervous System,2008,New Mexico,0.728,4.4,6.042
Brain and Other Nervous System,2008,New York,0.523,3.546,6.782
Brain and Other Nervous System,2008,North Carolina,0.673,4.196,6.237
Brain and Other Nervous System,2008,North Dakota,0.648,3.554,5.484
Brain and Other Nervous System,2008,Ohio,0.607,4.685,7.719
Brain and Other Nervous System,2008,Oklahoma,0.852,5.278,6.194
Brain and Other Nervous System,2008,Oregon,0.602,4.8,7.976
Brain and Other Nervous System,2008,Pennsylvania,0.534,3.975,7.438
Brain and Other Nervous System,2008,Rhode Island,0.604,4.264,7.056
Brain and Other Nervous System,2008,South Carolina,0.68,4.321,6.35
Brain and Other Nervous System,2008,South Dakota,0.673,4.897,7.276
Brain and Other Nervous System,2008,Tennessee,0.643,4.713,7.331
Brain and Other Nervous System,2008,Texas,0.585,3.983,6.809
Brain and Other Nervous System,2008,Utah,0.649,4.619,7.114
Brain and Other Nervous System,2008,Vermont,0.684,4.749,6.942
Brain and Other Nervous System,2008,Virginia,0.612,3.97,6.492
Brain and Other Nervous System,2008,Washington,0.735,5.409,7.358
Brain and Other Nervous System,2008,West Virginia,0.608,4.435,7.291
Brain and Other Nervous System,2008,Wisconsin,0.739,5.472,7.404
Brain and Other Nervous System,2008,Wyoming,0.753,4.038,5.361
Brain and Other Nervous System,2009,Alabama,0.723,5.124,7.089
Brain and Other Nervous System,2009,Alaska,0.536,4.685,8.74
Brain and Other Nervous System,2009,Arizona,0.599,4.17,6.964
Brain and Other Nervous System,2009,Arkansas,0.747,5.005,6.701
Brain and Other Nervous System,2009,California,0.685,4.358,6.362
Brain and Other Nervous System,2009,Colorado,0.61,4.533,7.434
Brain and Other Nervous System,2009,Connecticut,0.626,4.531,7.239
Brain and Other Nervous System,2009,Delaware,0.631,4.437,7.035
Brain and Other Nervous System,2009,District of Columbia,0.72,4.332,6.016
Brain and Other Nervous System,2009,Florida,0.557,3.928,7.048
Brain and Other Nervous System,2009,Georgia,0.614,3.974,6.477
Brain and Other Nervous System,2009,Hawaii,0.591,2.95,4.992
Brain and Other Nervous System,2009,Idaho,0.729,4.844,6.648
Brain and Other Nervous System,2009,Illinois,0.668,4.293,6.429
Brain and Other Nervous System,2009,Indiana,0.686,4.397,6.413
Brain and Other Nervous System,2009,Iowa,0.776,5.939,7.652
Brain and Other Nervous System,2009,Kansas,0.853,4.983,5.841
Brain and Other Nervous System,2009,Kentucky,0.552,4.518,8.183
Brain and Other Nervous System,2009,Louisiana,0.726,4.308,5.933
Brain and Other Nervous System,2009,Maine,0.66,5.538,8.396
Brain and Other Nervous System,2009,Maryland,0.629,4.083,6.495
Brain and Other Nervous System,2009,Massachusetts,0.717,4.789,6.676
Brain and Other Nervous System,2009,Michigan,0.707,4.877,6.9
Brain and Other Nervous System,2009,Minnesota,0.675,4.416,6.543
Brain and Other Nervous System,2009,Mississippi,0.806,4.358,5.405
Brain and Other Nervous System,2009,Missouri,0.658,4.73,7.189
Brain and Other Nervous System,2009,Montana,0.514,3.522,6.852
Brain and Other Nervous System,2009,Nebraska,0.683,5.02,7.348
Brain and Other Nervous System,2009,Nevada,0.704,3.534,5.023
Brain and Other Nervous System,2009,New Hampshire,0.511,4.71,9.226
Brain and Other Nervous System,2009,New Jersey,0.51,3.629,7.121
Brain and Other Nervous System,2009,New Mexico,0.566,3.354,5.931
Brain and Other Nervous System,2009,New York,0.571,3.897,6.824
Brain and Other Nervous System,2009,North Carolina,0.574,3.96,6.901
Brain and Other Nervous System,2009,North Dakota,0.837,4.846,5.787
Brain and Other Nervous System,2009,Ohio,0.599,4.494,7.505
Brain and Other Nervous System,2009,Oklahoma,0.586,4.215,7.199
Brain and Other Nervous System,2009,Oregon,0.719,5.53,7.694
Brain and Other Nervous System,2009,Pennsylvania,0.618,4.373,7.076
Brain and Other Nervous System,2009,Rhode Island,0.769,3.85,5.008
Brain and Other Nervous System,2009,South Carolina,0.683,4.158,6.091
Brain and Other Nervous System,2009,South Dakota,1.009 (Unreliable),6.079,6.022
Brain and Other Nervous System,2009,Tennessee,0.717,5.467,7.623
Brain and Other Nervous System,2009,Texas,0.622,4.192,6.739
Brain and Other Nervous System,2009,Utah,0.629,4.145,6.589
Brain and Other Nervous System,2009,Vermont,0.385,3.552,9.222
Brain and Other Nervous System,2009,Virginia,0.542,3.81,7.033
Brain and Other Nervous System,2009,Washington,0.653,4.919,7.529
Brain and Other Nervous System,2009,West Virginia,0.61,4.247,6.959
Brain and Other Nervous System,2009,Wisconsin,0.587,4.863,8.282
Brain and Other Nervous System,2009,Wyoming,0.61,5.345,8.763
Brain and Other Nervous System,2010,Alabama,0.797,5.11,6.414
Brain and Other Nervous System,2010,Alaska,0.417,4.443,10.663
Brain and Other Nervous System,2010,Arizona,0.571,3.963,6.943
Brain and Other Nervous System,2010,Arkansas,0.712,4.765,6.694
Brain and Other Nervous System,2010,California,0.67,4.14,6.179
Brain and Other Nervous System,2010,Colorado,0.685,4.509,6.587
Brain and Other Nervous System,2010,Connecticut,0.666,4.76,7.149
Brain and Other Nervous System,2010,Delaware,0.443,2.749,6.209
Brain and Other Nervous System,2010,District of Columbia,0.464,3.282,7.07
Brain and Other Nervous System,2010,Florida,0.601,4.099,6.82
Brain and Other Nervous System,2010,Georgia,0.649,4.005,6.171
Brain and Other Nervous System,2010,Hawaii,0.568,2.356,4.145
Brain and Other Nervous System,2010,Idaho,0.736,4.73,6.424
Brain and Other Nervous System,2010,Illinois,0.595,4.033,6.778
Brain and Other Nervous System,2010,Indiana,0.537,3.972,7.399
Brain and Other Nervous System,2010,Iowa,0.757,5.005,6.611
Brain and Other Nervous System,2010,Kansas,0.696,4.464,6.415
Brain and Other Nervous System,2010,Kentucky,0.636,4.82,7.579
Brain and Other Nervous System,2010,Louisiana,0.706,4.055,5.743
Brain and Other Nervous System,2010,Maine,0.635,5.002,7.881
Brain and Other Nervous System,2010,Maryland,0.608,3.998,6.578
Brain and Other Nervous System,2010,Massachusetts,0.548,3.801,6.933
Brain and Other Nervous System,2010,Michigan,0.716,4.798,6.699
Brain and Other Nervous System,2010,Minnesota,0.705,4.625,6.563
Brain and Other Nervous System,2010,Mississippi,0.661,4.406,6.662
Brain and Other Nervous System,2010,Missouri,0.65,4.367,6.717
Brain and Other Nervous System,2010,Montana,0.607,4.84,7.974
Brain and Other Nervous System,2010,Nebraska,0.564,4.383,7.777
Brain and Other Nervous System,2010,Nevada,0.694,4.06,5.852
Brain and Other Nervous System,2010,New Hampshire,0.63,5.236,8.305
Brain and Other Nervous System,2010,New Jersey,0.506,3.763,7.438
Brain and Other Nervous System,2010,New Mexico,0.74,3.872,5.23
Brain and Other Nervous System,2010,New York,0.58,3.799,6.552
Brain and Other Nervous System,2010,North Carolina,0.618,4.366,7.068
Brain and Other Nervous System,2010,North Dakota,0.574,3.223,5.615
Brain and Other Nervous System,2010,Ohio,0.667,4.586,6.872
Brain and Other Nervous System,2010,Oklahoma,0.723,4.66,6.445
Brain and Other Nervous System,2010,Oregon,0.666,4.661,7.002
Brain and Other Nervous System,2010,Pennsylvania,0.564,4.206,7.454
Brain and Other Nervous System,2010,Rhode Island,0.736,4.461,6.058
Brain and Other Nervous System,2010,South Carolina,0.631,4.363,6.915
Brain and Other Nervous System,2010,South Dakota,1.000 (Unreliable),5.95,5.949
Brain and Other Nervous System,2010,Tennessee,0.678,4.452,6.565
Brain and Other Nervous System,2010,Texas,0.627,3.962,6.315
Brain and Other Nervous System,2010,Utah,0.496,3.569,7.197
Brain and Other Nervous System,2010,Vermont,0.749,5.927,7.914
Brain and Other Nervous System,2010,Virginia,0.641,4.176,6.511
Brain and Other Nervous System,2010,Washington,0.691,5.262,7.612
Brain and Other Nervous System,2010,West Virginia,0.683,4.481,6.559
Brain and Other Nervous System,2010,Wisconsin,0.626,4.571,7.304
Brain and Other Nervous System,2010,Wyoming,0.531,5.075,9.565
Brain and Other Nervous System,2011,Alabama,0.76,4.765,6.267
Brain and Other Nervous System,2011,Alaska,0.942,6.078,6.454
Brain and Other Nervous System,2011,Arizona,0.581,3.911,6.729
Brain and Other Nervous System,2011,Arkansas,0.718,4.577,6.377
Brain and Other Nervous System,2011,California,0.717,4.259,5.942
Brain and Other Nervous System,2011,Colorado,0.615,4.198,6.823
Brain and Other Nervous System,2011,Connecticut,0.57,4.039,7.089
Brain and Other Nervous System,2011,Delaware,0.627,4.453,7.103
Brain and Other Nervous System,2011,District of Columbia,0.489,2.771,5.661
Brain and Other Nervous System,2011,Florida,0.621,4.154,6.694
Brain and Other Nervous System,2011,Georgia,0.69,4.245,6.155
Brain and Other Nervous System,2011,Hawaii,0.725,2.248,3.099
Brain and Other Nervous System,2011,Idaho,0.84,4.854,5.78
Brain and Other Nervous System,2011,Illinois,0.582,3.979,6.838
Brain and Other Nervous System,2011,Indiana,0.654,4.652,7.11
Brain and Other Nervous System,2011,Iowa,0.567,4.494,7.929
Brain and Other Nervous System,2011,Kansas,0.704,5.561,7.9
Brain and Other Nervous System,2011,Kentucky,0.6,4.649,7.745
Brain and Other Nervous System,2011,Louisiana,0.7,3.916,5.596
Brain and Other Nervous System,2011,Maine,0.668,4.769,7.135
Brain and Other Nervous System,2011,Maryland,0.61,3.901,6.394
Brain and Other Nervous System,2011,Massachusetts,0.617,4.303,6.979
Brain and Other Nervous System,2011,Michigan,0.663,4.532,6.837
Brain and Other Nervous System,2011,Minnesota,0.645,4.565,7.08
Brain and Other Nervous System,2011,Mississippi,0.728,4.667,6.408
Brain and Other Nervous System,2011,Missouri,0.665,4.229,6.362
Brain and Other Nervous System,2011,Montana,0.715,5.769,8.064
Brain and Other Nervous System,2011,Nebraska,0.706,5.79,8.202
Brain and Other Nervous System,2011,Nevada,0.741,4.4,5.934
Brain and Other Nervous System,2011,New Hampshire,0.559,4.649,8.322
Brain and Other Nervous System,2011,New Jersey,0.577,3.854,6.682
Brain and Other Nervous System,2011,New Mexico,0.768,3.825,4.98
Brain and Other Nervous System,2011,New York,0.555,3.605,6.502
Brain and Other Nervous System,2011,North Carolina,0.644,4.403,6.841
Brain and Other Nervous System,2011,North Dakota,0.719,3.929,5.463
Brain and Other Nervous System,2011,Ohio,0.627,4.119,6.567
Brain and Other Nervous System,2011,Oklahoma,0.845,5.261,6.229
Brain and Other Nervous System,2011,Oregon,0.623,4.877,7.832
Brain and Other Nervous System,2011,Pennsylvania,0.565,4.063,7.196
Brain and Other Nervous System,2011,Rhode Island,0.444,3.013,6.787
Brain and Other Nervous System,2011,South Carolina,0.692,4.524,6.537
Brain and Other Nervous System,2011,South Dakota,0.594,5.449,9.169
Brain and Other Nervous System,2011,Tennessee,0.666,4.58,6.873
Brain and Other Nervous System,2011,Texas,0.574,3.833,6.681
Brain and Other Nervous System,2011,Utah,0.578,4.623,8.004
Brain and Other Nervous System,2011,Vermont,0.673,5.375,7.993
Brain and Other Nervous System,2011,Virginia,0.66,3.895,5.904
Brain and Other Nervous System,2011,Washington,0.693,5.115,7.378
Brain and Other Nervous System,2011,West Virginia,0.527,3.205,6.085
Brain and Other Nervous System,2011,Wisconsin,0.71,5.523,7.782
Brain and Other Nervous System,2011,Wyoming,0.788,4.953,6.288
Brain and Other Nervous System,2012,Alabama,0.64,4.762,7.436
Brain and Other Nervous System,2012,Alaska,0.656,4.406,6.717
Brain and Other Nervous System,2012,Arizona,0.713,4.706,6.601
Brain and Other Nervous System,2012,Arkansas,0.767,5.216,6.804
Brain and Other Nervous System,2012,California,0.735,4.395,5.981
Brain and Other Nervous System,2012,Colorado,0.718,4.588,6.389
Brain and Other Nervous System,2012,Connecticut,0.607,3.989,6.572
Brain and Other Nervous System,2012,Delaware,0.69,4.441,6.435
Brain and Other Nervous System,2012,District of Columbia,0.482,3.115,6.464
Brain and Other Nervous System,2012,Florida,0.677,4.342,6.411
Brain and Other Nervous System,2012,Georgia,0.614,4.018,6.543
Brain and Other Nervous System,2012,Hawaii,0.574,2.487,4.336
Brain and Other Nervous System,2012,Idaho,0.657,4.792,7.295
Brain and Other Nervous System,2012,Illinois,0.688,4.204,6.11
Brain and Other Nervous System,2012,Indiana,0.726,5,6.884
Brain and Other Nervous System,2012,Iowa,0.588,4.657,7.923
Brain and Other Nervous System,2012,Kansas,0.766,5.361,7.003
Brain and Other Nervous System,2012,Kentucky,0.674,5.005,7.423
Brain and Other Nervous System,2012,Louisiana,0.686,4.591,6.696
Brain and Other Nervous System,2012,Maine,0.61,4.717,7.738
Brain and Other Nervous System,2012,Maryland,0.594,4.001,6.737
Brain and Other Nervous System,2012,Massachusetts,0.661,4.242,6.419
Brain and Other Nervous System,2012,Michigan,0.71,4.803,6.761
Brain and Other Nervous System,2012,Minnesota,0.603,4.596,7.619
Brain and Other Nervous System,2012,Mississippi,0.786,5.112,6.505
Brain and Other Nervous System,2012,Missouri,0.648,4.545,7.009
Brain and Other Nervous System,2012,Montana,0.576,4.458,7.738
Brain and Other Nervous System,2012,Nebraska,0.689,4.833,7.014
Brain and Other Nervous System,2012,Nevada,0.769,4.425,5.755
Brain and Other Nervous System,2012,New Hampshire,0.669,4.706,7.034
Brain and Other Nervous System,2012,New Jersey,0.529,3.879,7.337
Brain and Other Nervous System,2012,New Mexico,0.605,3.496,5.775
Brain and Other Nervous System,2012,New York,0.591,3.895,6.595
Brain and Other Nervous System,2012,North Carolina,0.707,4.604,6.516
Brain and Other Nervous System,2012,North Dakota,0.571,3.862,6.768
Brain and Other Nervous System,2012,Ohio,0.676,4.541,6.716
Brain and Other Nervous System,2012,Oklahoma,0.625,4.199,6.722
Brain and Other Nervous System,2012,Oregon,0.656,5.061,7.709
Brain and Other Nervous System,2012,Pennsylvania,0.578,4.241,7.342
Brain and Other Nervous System,2012,Rhode Island,0.803,5.12,6.379
Brain and Other Nervous System,2012,South Carolina,0.718,4.389,6.111
Brain and Other Nervous System,2012,South Dakota,0.729,5.318,7.299
Brain and Other Nervous System,2012,Tennessee,0.709,4.618,6.512
Brain and Other Nervous System,2012,Texas,0.653,4.161,6.373
Brain and Other Nervous System,2012,Utah,0.7,4.58,6.543
Brain and Other Nervous System,2012,Vermont,0.978,5.906,6.042
