Leading Cancer Sites,Year,Region,Race,Mortality-Incidence Age-Adjusted Rate Ratio,"Mortality Age-Adjusted Rate (per 100,000)","Incidence Age-Adjusted Rate (per 100,000)"
Breast,2009,Midwest,White,0.182,12.273,67.401
Breast,2009,South,American Indian or Alaska Native,0.159,6.593,41.408
Breast,2009,South,Asian or Pacific Islander,0.129,5.066,39.302
Breast,2009,South,Black or African American,0.251,18.172,72.413
Breast,2009,South,White,0.178,11.66,65.437
Breast,2009,West,American Indian or Alaska Native,0.206,7.5,36.463
Breast,2009,West,Asian or Pacific Islander,0.136,7.246,53.246
Breast,2009,West,Black or African American,0.257,16.817,65.448
Breast,2009,West,White,0.177,12.032,68.002
Breast,2010,Northeast,Asian or Pacific Islander,0.114,5.435,47.651
Breast,2010,Northeast,Black or African American,0.241,16.23,67.311
Breast,2010,Northeast,White,0.173,12.257,70.734
Breast,2010,Midwest,American Indian or Alaska Native,0.147,6.396,43.65
Breast,2010,Midwest,Asian or Pacific Islander,0.124,5.497,44.338
Breast,2010,Midwest,Black or African American,0.262,18.432,70.364
Breast,2010,Midwest,White,0.186,12.118,65.071
Breast,2010,South,American Indian or Alaska Native,0.209,7.912,37.86
Breast,2010,South,Asian or Pacific Islander,0.109,4.367,40.03
Breast,2010,South,Black or African American,0.257,18.339,71.351
Breast,2010,South,White,0.182,11.582,63.606
Breast,2010,West,American Indian or Alaska Native,0.151,5.91,39.247
Breast,2010,West,Asian or Pacific Islander,0.148,7.963,53.956
Breast,2010,West,Black or African American,0.253,16.333,64.441
Breast,2010,West,White,0.179,11.602,64.95
Breast,2011,Northeast,Asian or Pacific Islander,0.119,5.662,47.54
Breast,2011,Northeast,Black or African American,0.239,16.806,70.349
Breast,2011,Northeast,White,0.165,12,72.592
Breast,2011,Midwest,American Indian or Alaska Native,0.151,7.366,48.86
Breast,2011,Midwest,Asian or Pacific Islander,0.124,5.716,46.069
Breast,2011,Midwest,Black or African American,0.258,18.971,73.46
Breast,2011,Midwest,White,0.176,11.913,67.693
Breast,2011,South,American Indian or Alaska Native,0.146,6.916,47.45
Breast,2011,South,Asian or Pacific Islander,0.129,5.222,40.533
Breast,2011,South,Black or African American,0.247,17.708,71.56
Breast,2011,South,White,0.178,11.257,63.336
Breast,2011,West,American Indian or Alaska Native,0.157,6.112,39.015
Breast,2011,West,Asian or Pacific Islander,0.131,7.108,54.218
Breast,2011,West,Black or African American,0.255,16.961,66.456
Breast,2011,West,White,0.172,11.422,66.354
Breast,2012,Northeast,Asian or Pacific Islander,0.104,4.808,46.432
Breast,2012,Northeast,Black or African American,0.23,15.544,67.552
Breast,2012,Northeast,White,0.161,11.664,72.281
Breast,2012,Midwest,American Indian or Alaska Native,0.158,7.436,46.953
Breast,2012,Midwest,Asian or Pacific Islander,0.111,5.257,47.339
Breast,2012,Midwest,Black or African American,0.255,18.35,71.886
Breast,2012,Midwest,White,0.174,11.644,66.954
Breast,2012,South,American Indian or Alaska Native,0.142,6.044,42.508
Breast,2012,South,Asian or Pacific Islander,0.145,6.006,41.457
Breast,2012,South,Black or African American,0.248,17.645,71.163
Breast,2012,South,White,0.176,11.265,64.021
Breast,2012,West,American Indian or Alaska Native,0.149,5.836,39.203
Breast,2012,West,Asian or Pacific Islander,0.129,7.154,55.365
Breast,2012,West,Black or African American,0.249,16.013,64.416
Breast,2012,West,White,0.171,11.273,66.035
Breast,2013,Northeast,Asian or Pacific Islander,0.108,5.355,49.368
Breast,2013,Northeast,Black or African American,0.219,15.443,70.381
Breast,2013,Northeast,White,0.156,11.503,73.534
Breast,2013,Midwest,American Indian or Alaska Native,0.119,6.1,51.066
Breast,2013,Midwest,Asian or Pacific Islander,0.141,6.342,45.049
Breast,2013,Midwest,Black or African American,0.234,17.49,74.846
Breast,2013,Midwest,White,0.169,11.394,67.424
Breast,2013,South,American Indian or Alaska Native,0.115,5.433,47.436
Breast,2013,South,Asian or Pacific Islander,0.136,5.835,43.027
Breast,2013,South,Black or African American,0.235,16.884,71.799
Breast,2013,South,White,0.168,10.8,64.463
Breast,2013,West,American Indian or Alaska Native,0.159,6.101,38.382
Breast,2013,West,Asian or Pacific Islander,0.12,6.797,56.766
Breast,2013,West,Black or African American,0.236,15.126,64.168
Breast,2013,West,White,0.172,11.329,65.925
Breast,2014,Northeast,Asian or Pacific Islander,0.109,5.41,49.552
Breast,2014,Northeast,Black or African American,0.225,15.552,69.102
Breast,2014,Northeast,White,0.145,10.75,74.006
Breast,2014,Midwest,American Indian or Alaska Native,0.105,5.153,49.091
Breast,2014,Midwest,Asian or Pacific Islander,0.145,6.512,45.029
Breast,2014,Midwest,Black or African American,0.223,16.721,74.97
Breast,2014,Midwest,White,0.167,11.281,67.58
Breast,2014,South,American Indian or Alaska Native,0.137,6.184,44.987
Breast,2014,South,Asian or Pacific Islander,0.124,5.225,42.115
Breast,2014,South,Black or African American,0.236,16.778,71.206
Breast,2014,South,White,0.171,10.969,64.289
Breast,2014,West,American Indian or Alaska Native,0.175,6.735,38.566
Breast,2014,West,Asian or Pacific Islander,0.131,7.273,55.357
Breast,2014,West,Black or African American,0.244,15.618,63.925
Breast,2014,West,White,0.17,11.099,65.316
Breast,2015,Northeast,American Indian or Alaska Native,0.294,5.862,19.965
Breast,2015,Northeast,Asian or Pacific Islander,0.105,5.383,51.026
Breast,2015,Northeast,Black or African American,0.201,14.411,71.547
Breast,2015,Northeast,White,0.149,10.97,73.449
Breast,2015,Midwest,American Indian or Alaska Native,0.248,11.627,46.876
Breast,2015,Midwest,Asian or Pacific Islander,0.12,5.703,47.617
Breast,2015,Midwest,Black or African American,0.233,17.147,73.502
Breast,2015,Midwest,White,0.162,11.097,68.51
Breast,2015,South,American Indian or Alaska Native,0.157,7.084,45.117
Breast,2015,South,Asian or Pacific Islander,0.123,5.51,44.976
Breast,2015,South,Black or African American,0.229,16.38,71.417
Breast,2015,South,White,0.165,10.652,64.558
Breast,2015,West,American Indian or Alaska Native,0.166,6.104,36.743
Breast,2015,West,Asian or Pacific Islander,0.135,7.627,56.521
Breast,2015,West,Black or African American,0.258,16.159,62.736
Breast,2015,West,White,0.168,10.949,65.012
Breast,2016,Northeast,Asian or Pacific Islander,0.109,5.416,49.642
Breast,2016,Northeast,Black or African American,0.211,14.72,69.859
Breast,2016,Northeast,White,0.15,10.905,72.465
Breast,2016,Midwest,American Indian or Alaska Native,0.121,5.642,46.437
Breast,2016,Midwest,Asian or Pacific Islander,0.103,4.886,47.312
Breast,2016,Midwest,Black or African American,0.242,17.254,71.43
Breast,2016,Midwest,White,0.161,10.879,67.757
Breast,2016,South,American Indian or Alaska Native,0.156,7.238,46.273
Breast,2016,South,Asian or Pacific Islander,0.122,5.071,41.66
Breast,2016,South,Black or African American,0.225,15.956,70.759
Breast,2016,South,White,0.168,10.587,62.995
Breast,2016,West,American Indian or Alaska Native,0.217,7.386,34.037
Breast,2016,West,Asian or Pacific Islander,0.119,6.614,55.48
Breast,2016,West,Black or African American,0.263,15.688,59.701
Breast,2016,West,White,0.168,10.724,63.744
Cervix Uteri,1999,Northeast,Asian or Pacific Islander,0.448,3.146,7.028
Cervix Uteri,1999,Northeast,Black or African American,0.389,5.834,14.981
Cervix Uteri,1999,Northeast,White,0.29,2.505,8.636
Cervix Uteri,1999,Midwest,Black or African American,0.331,4.621,13.965
Cervix Uteri,1999,Midwest,White,0.283,2.444,8.634
Cervix Uteri,1999,South,Black or African American,0.377,5.53,14.676
Cervix Uteri,1999,South,White,0.277,2.763,9.975
Cervix Uteri,1999,West,Asian or Pacific Islander,0.294,2.626,8.943
Cervix Uteri,1999,West,Black or African American,0.424,4.408,10.389
Cervix Uteri,1999,West,White,0.272,2.449,8.995
Cervix Uteri,2000,Northeast,Asian or Pacific Islander,0.331,2.776,8.385
Cervix Uteri,2000,Northeast,Black or African American,0.34,5.252,15.452
Cervix Uteri,2000,Northeast,White,0.271,2.272,8.375
Cervix Uteri,2000,Midwest,Black or African American,0.31,4.684,15.108
Cervix Uteri,2000,Midwest,White,0.275,2.376,8.627
Cervix Uteri,2000,South,Asian or Pacific Islander,0.241,2.051,8.506
Cervix Uteri,2000,South,Black or African American,0.439,5.778,13.175
Cervix Uteri,2000,South,White,0.274,2.69,9.819
Cervix Uteri,2000,West,Asian or Pacific Islander,0.34,3.013,8.858
Cervix Uteri,2000,West,Black or African American,0.529,4.837,9.141
Cervix Uteri,2000,West,White,0.267,2.428,9.103
Cervix Uteri,2001,Northeast,Asian or Pacific Islander,0.337,3.022,8.972
Cervix Uteri,2001,Northeast,Black or African American,0.28,3.765,13.461
Cervix Uteri,2001,Northeast,White,0.286,2.276,7.972
Cervix Uteri,2001,Midwest,Black or African American,0.401,4.909,12.248
Cervix Uteri,2001,Midwest,White,0.264,2.145,8.128
Cervix Uteri,2001,South,Asian or Pacific Islander,0.218,2.406,11.031
Cervix Uteri,2001,South,Black or African American,0.417,5.284,12.686
Cervix Uteri,2001,South,White,0.285,2.706,9.48
Cervix Uteri,2001,West,Asian or Pacific Islander,0.274,2.64,9.645
Cervix Uteri,2001,West,Black or African American,0.48,4.497,9.371
Cervix Uteri,2001,West,White,0.3,2.504,8.339
Cervix Uteri,2002,Northeast,Asian or Pacific Islander,0.317,2.597,8.195
Cervix Uteri,2002,Northeast,Black or African American,0.34,4.564,13.422
Cervix Uteri,2002,Northeast,White,0.283,2.141,7.556
Cervix Uteri,2002,Midwest,Asian or Pacific Islander,0.469,3.904,8.323
Cervix Uteri,2002,Midwest,Black or African American,0.449,5.314,11.846
Cervix Uteri,2002,Midwest,White,0.277,2.152,7.767
Cervix Uteri,2002,South,Black or African American,0.403,5.11,12.677
Cervix Uteri,2002,South,White,0.284,2.539,8.937
Cervix Uteri,2002,West,American Indian or Alaska Native,0.572,3.677,6.433
Cervix Uteri,2002,West,Asian or Pacific Islander,0.267,2.203,8.256
Cervix Uteri,2002,West,Black or African American,0.407,3.534,8.691
Cervix Uteri,2002,West,White,0.256,2.15,8.386
Cervix Uteri,2003,Northeast,Asian or Pacific Islander,0.27,1.841,6.829
Cervix Uteri,2003,Northeast,Black or African American,0.398,4.709,11.823
Cervix Uteri,2003,Northeast,White,0.262,1.987,7.581
Cervix Uteri,2003,Midwest,Black or African American,0.374,4.771,12.763
Cervix Uteri,2003,Midwest,White,0.283,2.129,7.531
Cervix Uteri,2003,South,Asian or Pacific Islander,0.404,2.301,5.697
Cervix Uteri,2003,South,Black or African American,0.407,4.812,11.822
Cervix Uteri,2003,South,White,0.292,2.556,8.749
Cervix Uteri,2003,West,Asian or Pacific Islander,0.34,2.701,7.944
Cervix Uteri,2003,West,Black or African American,0.383,3.378,8.83
Cervix Uteri,2003,West,White,0.27,2.073,7.663
Cervix Uteri,2004,Northeast,Black or African American,0.337,4.139,12.271
Cervix Uteri,2004,Northeast,White,0.281,2.123,7.548
Cervix Uteri,2004,Midwest,Black or African American,0.358,4.251,11.867
Cervix Uteri,2004,Midwest,White,0.301,2.179,7.25
Cervix Uteri,2004,South,Asian or Pacific Islander,0.295,2.235,7.584
Cervix Uteri,2004,South,Black or African American,0.441,4.963,11.246
Cervix Uteri,2004,South,White,0.274,2.317,8.468
Cervix Uteri,2004,West,Asian or Pacific Islander,0.319,2.478,7.779
Cervix Uteri,2004,West,Black or African American,0.444,2.92,6.578
Cervix Uteri,2004,West,White,0.266,2.032,7.637
Cervix Uteri,2005,Northeast,Asian or Pacific Islander,0.253,2.037,8.051
Cervix Uteri,2005,Northeast,Black or African American,0.311,3.741,12.022
Cervix Uteri,2005,Northeast,White,0.272,2.043,7.507
Cervix Uteri,2005,Midwest,Black or African American,0.432,4.626,10.702
Cervix Uteri,2005,Midwest,White,0.27,2.019,7.469
Cervix Uteri,2005,South,Asian or Pacific Islander,0.28,2.358,8.423
Cervix Uteri,2005,South,Black or African American,0.447,4.768,10.666
Cervix Uteri,2005,South,White,0.282,2.468,8.737
Cervix Uteri,2005,West,Asian or Pacific Islander,0.215,1.713,7.961
Cervix Uteri,2005,West,Black or African American,0.315,2.708,8.584
Cervix Uteri,2005,West,White,0.278,2.176,7.826
Cervix Uteri,2006,Northeast,Asian or Pacific Islander,0.163,1.565,9.604
Cervix Uteri,2006,Northeast,Black or African American,0.418,4.587,10.979
Cervix Uteri,2006,Northeast,White,0.281,2.115,7.517
Cervix Uteri,2006,Midwest,Black or African American,0.416,4.336,10.426
Cervix Uteri,2006,Midwest,White,0.279,2.037,7.303
Cervix Uteri,2006,South,Asian or Pacific Islander,0.285,2.283,8.012
Cervix Uteri,2006,South,Black or African American,0.431,4.477,10.395
Cervix Uteri,2006,South,White,0.277,2.349,8.476
Cervix Uteri,2006,West,American Indian or Alaska Native,0.391,2.738,6.996
Cervix Uteri,2006,West,Asian or Pacific Islander,0.314,2.408,7.671
Cervix Uteri,2006,West,Black or African American,0.358,2.488,6.94
Cervix Uteri,2006,West,White,0.286,2.273,7.952
Cervix Uteri,2007,Northeast,Asian or Pacific Islander,0.246,1.916,7.798
Cervix Uteri,2007,Northeast,Black or African American,0.338,4.065,12.041
Cervix Uteri,2007,Northeast,White,0.253,1.88,7.432
Cervix Uteri,2007,Midwest,Black or African American,0.407,4.671,11.47
Cervix Uteri,2007,Midwest,White,0.292,2.06,7.047
Cervix Uteri,2007,South,Asian or Pacific Islander,0.36,2.386,6.632
Cervix Uteri,2007,South,Black or African American,0.443,4.539,10.247
Cervix Uteri,2007,South,White,0.295,2.516,8.544
Cervix Uteri,2007,West,American Indian or Alaska Native,0.355,2.462,6.94
Cervix Uteri,2007,West,Asian or Pacific Islander,0.29,2.108,7.259
Cervix Uteri,2007,West,Black or African American,0.374,2.489,6.655
Cervix Uteri,2007,West,White,0.285,2.176,7.643
Cervix Uteri,2008,Northeast,Asian or Pacific Islander,0.181,1.483,8.185
Cervix Uteri,2008,Northeast,Black or African American,0.299,3.258,10.892
Cervix Uteri,2008,Northeast,White,0.263,1.84,6.998
Cervix Uteri,2008,Midwest,Asian or Pacific Islander,0.458,2.65,5.782
Cervix Uteri,2008,Midwest,Black or African American,0.384,4.227,11.011
Cervix Uteri,2008,Midwest,White,0.291,2.06,7.081
Cervix Uteri,2008,South,American Indian or Alaska Native,0.654,4.122,6.305
Cervix Uteri,2008,South,Asian or Pacific Islander,0.407,2.49,6.121
Cervix Uteri,2008,South,Black or African American,0.415,4.409,10.636
Cervix Uteri,2008,South,White,0.294,2.475,8.425
Cervix Uteri,2008,West,American Indian or Alaska Native,0.423,2.955,6.98
Cervix Uteri,2008,West,Asian or Pacific Islander,0.25,1.694,6.769
Cervix Uteri,2008,West,Black or African American,0.539,4.263,7.904
Cervix Uteri,2008,West,White,0.263,2.08,7.907
Cervix Uteri,2009,Northeast,Asian or Pacific Islander,0.216,1.281,5.923
Cervix Uteri,2009,Northeast,Black or African American,0.397,4.155,10.461
Cervix Uteri,2009,Northeast,White,0.254,1.878,7.397
Cervix Uteri,2009,Midwest,Black or African American,0.433,4.538,10.478
Cervix Uteri,2009,Midwest,White,0.267,1.943,7.272
Cervix Uteri,2009,South,Asian or Pacific Islander,0.298,1.732,5.821
Cervix Uteri,2009,South,Black or African American,0.398,4.165,10.457
Cervix Uteri,2009,South,White,0.269,2.326,8.631
Cervix Uteri,2009,West,American Indian or Alaska Native,0.418,2.949,7.05
Cervix Uteri,2009,West,Asian or Pacific Islander,0.246,1.668,6.783
Cervix Uteri,2009,West,Black or African American,0.393,3.204,8.142
Cervix Uteri,2009,West,White,0.267,1.991,7.458
Cervix Uteri,2010,Northeast,Asian or Pacific Islander,0.175,1.303,7.457
Cervix Uteri,2010,Northeast,Black or African American,0.319,3.521,11.037
Cervix Uteri,2010,Northeast,White,0.264,1.791,6.793
Cervix Uteri,2010,Midwest,Black or African American,0.371,3.624,9.778
